major_id,name,domain,description,core_subjects,interests_keywords,skills,acquired_skills,career_paths,job_sectors,study_duration_years,min_highschool_gpa,track_requirement,,,,automation_risk_score,holy_quran,islamic_education,arabic_language,english_language,mathematics,physics,chemistry,biology
35,الهندسة الميكانيكية,الهندسة والتكنولوجيا,تخصص يركز على تصميم وتطوير وتصنيع الأنظمة الميكانيكية والآلات والمعدات الصناعية.,ميكانيكا المواد;الديناميكا الحرارية;ميكانيكا الموائع;تصميم الآلات;التحكم الآلي;التصنيع,الآلات;التصميم;التصنيع;الفيزياء;الابتكار,التفكير التحليلي;التصميم الميكانيكي;حل المشكلات;الإبداع التقني,تصميم الآلات;تحليل الإجهادات;برمجة CNC;صيانة المعدات;إدارة خطوط الإنتاج,مهندس تصميم;مهندس تصنيع;مهندس صيانة;مهندس مشاريع;مهندس جودة,القطاع الصناعي;شركات السيارات;الطاقة;القطاع الحكومي;الاستشارات الهندسية,5,80,علمي,,,,22,0,0,5,10,35,30,5,0
36,إدارة الأعمال,الإدارة والأعمال,تخصص يركز على التخطيط والتنظيم والقيادة والتحكم في الموارد لتحقيق أهداف المنظمات بكفاءة وفعالية.,مبادئ الإدارة;التسويق;المحاسبة;التمويل;إدارة الموارد البشرية;الإدارة الاستراتيجية,القيادة;التخطيط;الإدارة;الأعمال;التنظيم,التخطيط الاستراتيجي;اتخاذ القرارات;القيادة;التواصل الفعال,إدارة الفرق;التخطيط المالي;تحليل السوق;إدارة المشاريع;التفاوض,مدير أعمال;مدير فرع;مستشار إداري;رائد أعمال;مدير مشاريع,القطاع الخاص;القطاع الحكومي;الشركات الكبرى;الاستشارات الإدارية;ريادة الأعمال,4,70,جميع المسارات,,,,29,0,0,5,20,20,0,0,0
37,إدارة المشاريع,الإدارة والأعمال,تخصص يركز على تخطيط وتنفيذ ومراقبة وإغلاق المشاريع ضمن الوقت والميزانية المحددة.,تخطيط المشاريع;إدارة الجودة;إدارة المخاطر;إدارة الموارد;قياس الأداء;القيادة في المشاريع,التخطيط;التنظيم;القيادة;الحلول;الإدارة,التخطيط;إدارة الوقت;القيادة;حل المشكلات,تخطيط المشاريع;إدارة الموارد;مراقبة الجودة;قياس الأداء;إدارة المخاطر,مدير مشاريع;مخطط مشاريع;مراقب جودة;مدير برامج;استشاري إداري,القطاع الإنشائي;الشركات الكبرى;الاستشارات الإدارية;القطاع الحكومي;شركات التقنية,4,70,جميع المسارات,,,,29,0,0,5,20,20,0,0,0
38,أمن سيبراني,تكنولوجيا المعلومات,تخصص يركز على حماية البيانات والأنظمة من الاختراقات والتهديدات الإلكترونية.,أساسيات الأمن;التشفير;أمن الشبكات;الاختراق الأخلاقي;تحليل المخاطر;طبقات الحماية,الأمن;الحماية;التحقيق;التقنية;التحليل,التفكير النقدي;التحليل الأمني;حل المشكلات;الانتباه للتفاصيل,تحليل الثغرات;تأمين الشبكات;إدارة الحوادث;التشفير;التحقيق الجنائي الرقمي,أخصائي أمن;محقق جرائم إلكترونية;مدير أمن;محلل ثغرات;مستشار أمني,القطاع المالي;القطاع الحكومي;شركات التكنولوجيا;الاستشارات الأمنية;القطاع الصحي,4,75,علمي,,,,50,0,0,5,15,40,10,0,0
39,تقنيات الأشعة المتقدمة,العلوم الصحية والتقنية,تخصص يجمع بين العلوم الطبية والتقنية المتقدمة في مجال التصوير التشخيصي والعلاجي باستخدام أحدث التقنيات الإشعاعية.,فيزياء الأشعة المتقدمة;التصوير المقطعي;الرنين المغناطيسي;الطب النووي;الأشعة التداخلية;السلامة الإشعاعية,التصوير الطبي;التقنية;التشخيص;الفيزياء;الابتكار,الدقة التقنية;التحليل البصري;السلامة;التعامل مع الأجهزة,تشغيل أجهزة التصوير المتقدمة;تحليل الصور التشخيصية;ضمان السلامة الإشعاعية;صيانة الأجهزة;مساعدة في الإجراءات التشخيصية,أخصائي أشعة متقدم;فني أجهزة طبية;مسؤول سلامة إشعاعية;مشرف أقسام الأشعة;باحث في التصوير الطبي,المستشفيات;مراكز التصوير;الشركات الطبية;مراكز البحث;الهيئات الصحية,4,80,علمي,,,,22,5,5,5,10,10,20,15,20
40,تقنية المعلومات,تكنولوجيا المعلومات,"تخصص يركز على إدارة وتطوير الأنظمة التقنية، تصميم الشبكات، حماية البيانات، وتقديم الدعم التقني. يجمع بين الجانب النظري والتطبيقي العملي.",أساسيات البرمجة;شبكات الحاسوب;قواعد البيانات;أمن المعلومات;أنظمة التشغيل;تطوير الويب,الحاسوب;البرمجة;الشبكات;الأمن السيبراني;حل المشكلات,التفكير التحليلي;حل المشكلات;العمل الجماعي;التعلم المستمر,برمجة تطبيقات;إدارة قواعد البيانات;تأمين الشبكات;صيانة الأنظمة;تطوير مواقع ويب,أخصائي دعم فني;مطور ويب;مسؤول شبكات;محلل أمن معلومات;مسؤول قواعد بيانات,القطاع الحكومي;القطاع المالي;الاتصالات;الصحة;التعليم,4,75,علمي,,,,45,0,0,5,15,35,10,0,0
41,ريادة الأعمال,الأعمال والإدارة,تخصص يركز على تطوير المهارات اللازمة لإنشاء وإدارة المشاريع الريادية وتحويل الأفكار إلى مشاريع ناجحة.,تخطيط المشاريع;تمويل المشاريع;التسويق الريادي;الإبداع والابتكار;إدارة المخاطر;دراسات الجدوى,الابتكار;المشاريع;القادة;المخاطرة;التنمية,التفكير الإبداعي;اتخاذ القرار;إدارة المخاطر;القيادة,إعداد خطط العمل;تحليل الفرص;إدارة المشاريع;التسويق الريادي;جذب التمويل,رائد أعمال;مدير مشاريع;مستشار أعمال;منسق حاضنات;مدير ابتكار,المشاريع الناشئة;حاضنات الأعمال;الاستشارات;القطاع الخاص;التمويل,4,70,جميع المسارات,,,,45,0,0,5,20,20,0,0,0
42,شبكات الحاسوب,تكنولوجيا المعلومات,"تخصص يركز على تصميم، تنفيذ، وإدارة شبكات الحاسوب وأنظمة الاتصالات لضمان نقل البيانات بكفاءة وأمان.",أساسيات الشبكات;بروتوكولات الشبكات;أمن الشبكات;شبكات LAN/WAN;إدارة الشبكات;الشبكات اللاسلكية,الشبكات;الاتصالات;الأمن;التقنية;حل المشكلات,التفكير المنطقي;حل المشكلات;التخطيط;الاهتمام بالتفاصيل,تصميم الشبكات;إدارة الخوادم;أمن الشبكات;استكشاف الأخطاء;تحسين أداء الشبكة,مهندس شبكات;أخصائي أمن شبكات;مدير أنظمة;مستشار تقني;فني شبكات,شركات الاتصالات;القطاع المالي;القطاع الحكومي;الخدمات السحابية;الاستشارات التقنية,4,80,علمي,,,,22,0,0,5,15,40,10,0,0
43,طب الأسنان,الطب والعلوم الصحية,تخصص يركز على تشخيص وعلاج أمراض الفم والأسنان والوقاية منها. يشمل جراحة الفم وتركيب الأسنان والتعويضات السنية.,تشريح الأسنان;أمراض الفم;جراحة الفم;تركيب الأسنان;وقاية الأسنان;تعويضات سنية,طب الأسنان;الصحة;الجمال;الدقة;العمل اليدوي,الدقة اليدوية;الصبر;التواصل مع المرضى;التركيز;الإبداع,فحص الأسنان;حشو الأسنان;قلع الأسنان;تركيب التقويم;تبييض الأسنان,طبيب أسنان عام;أخصائي تقويم;جراح فم;طبيب أطفال;اختصاصي تعويضات,العيادات الخاصة;المستشفيات;مراكز الرعاية;العيادات الحكومية;المراكز التخصصية,6,90,علمي,,,,29,5,5,5,10,5,5,25,40
44,علم النفس,العلوم الاجتماعية,تخصص يدرس السلوك البشري والعمليات العقلية ويساهم في فهم وتفسير الظواهر النفسية وتقديم الرعاية النفسية.,علم النفس العام;علم النفس النمو;علم النفس الاجتماعي;علم النفس المرضي;مناهج البحث;الإحصاء النفسي,السلوك البشري;العلاج;الاستماع;التحليل;مساعدة الآخرين,الاستماع الفعال;التحليل النفسي;التعاطف;الملاحظة,التقييم النفسي;الإرشاد النفسي;إعداد التقارير;إجراء البحوث;التدخل العلاجي,أخصائي نفسي;مرشد طلابي;باحث نفسي;معالج سلوكي;استشاري أسري,المستشفيات;المدارس;مراكز الإرشاد;السجون;العيادات الخاصة,4,75,جميع المسارات,,,,37,0,0,10,20,5,0,0,0
45,علوم البيانات,تكنولوجيا المعلومات والرياضيات,"تخصص متعدد المجالات يجمع بين الإحصاء، البرمجة، وتحليل البيانات لاكتشاف الأنماط واستخلاص الرؤى القيمة من البيانات الضخمة.",الإحصاء والاحتمالات;تعلم الآلة;تحليل البيانات;برمجة Python/R;تصور البيانات;قواعد البيانات,البيانات;التحليل;الإحصاء;البرمجة;الاكتشاف,التفكير التحليلي;البرمجة الإحصائية;تحليل البيانات;حل المشكلات المعقدة,تحليل البيانات الضخمة;بناء نماذج التنبؤ;تصور البيانات;استخراج الأنماط;اتخاذ القرارات بالبيانات,عالم بيانات;محلل بيانات;مهندس تعلم آلي;أخصائي ذكاء الأعمال;باحث في البيانات,القطاع المالي;شركات التكنولوجيا;القطاع الصحي;التسويق الرقمي;الاستشارات,4,85,علمي,,,,37,0,0,5,15,40,15,0,0
46,علوم الحاسوب,تكنولوجيا المعلومات,تخصص يركز على الأساسيات النظرية والخوارزميات والبرمجة المتقدمة لتطوير حلول تقنية مبتكرة.,هياكل البيانات;الخوارزميات;برمجة متقدمة;أنظمة التشغيل;هندسة البرمجيات;قواعد البيانات,البرمجة;الخوارزميات;الرياضيات;الابتكار;حل المشكلات,التفكير المنطقي;البرمجة المتقدمة;تحليل الخوارزميات;التفكير التجريدي,تطوير البرمجيات;تحليل البيانات;تصميم الأنظمة;إدارة قواعد البيانات;تطوير الخوارزميات,مطور برمجيات;عالم بيانات;باحث في الذكاء الاصطناعي;مهندس أنظمة;مطور قواعد بيانات,شركات التكنولوجيا;القطاع المالي;القطاع الصحي;الاستشارات التقنية;القطاع الحكومي,4,80,علمي,,,,22,0,0,5,15,40,10,0,0
47,علوم المختبرات السريرية,الطب والعلوم الصحية,تخصص متقدم في التقنيات المخبرية التشخيصية والتحاليل الطبية الدقيقة لتشخيص الأمراض ومراقبة العلاج.,التحاليل الدقيقة;تقنيات البيولوجيا الجزيئية;علم الوراثة;المناعة المتقدمة;ضمان الجودة;أخلاقيات المختبر,المختبر;التشخيص;الدقة;البحث;التقنية,الدقة المخبرية;التحليل المتقدم;التقنية;الابتكار;الالتزام,إجراء التحاليل المتخصصة;تحليل الجينات;تشخيص الأمراض;ضمان الجودة;البحث العلمي,أخصائي مختبرات;باحث;مسؤول جودة;أخصائي تحاليل دقيقة;مشرف مختبر,المستشفيات;مراكز البحث;المختبرات المتخصصة;الصناعة الدوائية;الهيئات الصحية,4,80,علمي,,,,37,5,5,5,10,5,5,30,25
48,علوم المواد,الهندسة والعلوم,تخصص متعدد المجالات يدرس خصائص وتطبيقات المواد المختلفة وتصميم مواد جديدة ذات خصائص متقدمة.,هندسة المواد;الخواص الميكانيكية;المجهر الإلكتروني;تكنولوجيا النانو;تحليل الفشل;تطبيقات المواد,المواد;التقنية;الابتكار;التصنيع;البحث,البحث العلمي;التحليل المخبري;التفكير الإبداعي;حل المشكلات,تحليل خصائص المواد;تصميم مواد جديدة;إجراء الاختبارات;تحسين العمليات;البحث والتطوير,مهندس مواد;باحث في المواد;أخصائي جودة;مطور منتجات;استشاري تقني,الصناعات التحويلية;مراكز البحث;الشركات التقنية;الجامعات;الاستشارات الهندسية,4,80,علمي,,,,37,0,0,5,10,20,30,20,0
49,قانون حقوق الإنسان,العلوم القانونية,تخصص يركز على دراسة المواثيق الدولية والقوانين الوطنية لحماية حقوق الإنسان والحريات الأساسية.,النظرية العامة لحقوق الإنسان;المواثيق الدولية;الحقوق السياسية;الحقوق الاقتصادية;الحقوق الاجتماعية;آليات الحماية الدولية,العدالة الاجتماعية;الحريات;الدفاع;المجتمع;الإنسانية,التحليل الاجتماعي;التواصل;الدفاع;البحث الميداني,مراقبة انتهاكات الحقوق;صياغة التقارير;الدفاع القانوني;التوعية الحقوقية;العمل الميداني,ناشط حقوقي;محامي حقوق الإنسان;باحث ميداني;مستشار حكومي;موظف في منظمات حقوقية,المنظمات الحقوقية;الهيئات الحكومية;المحاكم;مراكز البحث;الإعلام,4,75,جميع المسارات,,,,50,10,20,10,25,0,0,0,0
50,نظم المعلومات,تكنولوجيا المعلومات والأعمال,تخصص يجمع بين تقنية المعلومات وإدارة الأعمال لتصميم وتطوير أنظمة المعلومات الداعمة للعمليات التنظيمية واتخاذ القرارات.,تحليل النظم;إدارة قواعد البيانات;أمن المعلومات;تطوير الأنظمة;إدارة مشاريع التقنية;نظم دعم القرار,التكنولوجيا;الإدارة;التحليل;الحلول;التخطيط,التفكير التحليلي;التخطيط;التواصل;إدارة المشاريع,تحليل النظم;إدارة قواعد البيانات;تطوير الأنظمة;إدارة المشاريع التقنية;تحليل الأعمال,محلل نظم;مدير قواعد بيانات;مدير مشاريع تقنية;مستشار تقني;أخصائي نظم,القطاع المالي;القطاع الحكومي;شركات التقنية;الاستشارات الإدارية;القطاع الصحي,4,75,جميع المسارات,,,,50,0,0,5,15,35,10,0,0
51,نظم المعلومات الإدارية,تكنولوجيا المعلومات والإدارة,تخصص يجمع بين تقنية المعلومات وإدارة الأعمال لتصميم وتطوير أنظمة المعلومات الداعمة لاتخاذ القرارات الإدارية.,تحليل النظم;قواعد البيانات;إدارة المشاريع التقنية;أمن المعلومات;نظم دعم القرار;تحليل الأعمال,التكنولوجيا;الإدارة;التحليل;الحلول;التخطيط,التفكير التحليلي;التخطيط;التواصل;إدارة المشاريع,تحليل النظم;إدارة قواعد البيانات;تطوير الأنظمة;إدارة المشاريع التقنية;تحليل الأعمال,محلل نظم;مدير قواعد بيانات;مدير مشاريع تقنية;مستشار تقني;أخصائي نظم,القطاع المالي;القطاع الحكومي;شركات التقنية;الاستشارات الإدارية;القطاع الصحي,4,75,جميع المسارات,,,,22,0,0,5,15,35,10,0,0
52,هندسة البرمجيات,هندسة وتكنولوجيا المعلومات,تخصص يركز على تطوير أنظمة برمجية كبيرة ومعقدة باستخدام منهجيات هندسية منظمة وضمان جودة عالية.,هندسة المتطلبات;تصميم البرمجيات;هندسة العمارة;ضمان الجودة;إدارة المشاريع;التطوير الآمن,البرمجة;التصميم;الجودة;الإدارة;التنظيم,التفكير المنهجي;التخطيط;إدارة المشاريع;ضمان الجودة,تطوير الأنظمة الكبيرة;إدارة دورة حياة البرمجيات;ضمان جودة البرمجيات;تصميم العمارة;التوثيق الفني,مهندس برمجيات;مدير مشاريع;مهندس جودة;مهندس عمارة;مطور أنظمة,شركات البرمجيات;القطاع المالي;القطاع الحكومي;الاستشارات التقنية;شركات التكنولوجيا,4,80,علمي,,,,45,0,0,5,15,40,10,0,0
53,هندسة الطاقة,الهندسة والتكنولوجيا,تخصص يركز على تصميم وتطوير أنظمة إنتاج ونقل وتوزيع الطاقة بمصادرها المختلفة.,أنظمة الطاقة;الطاقات المتجددة;الكفاءة energetica;نقل الطاقة;تخزين الطاقة;التحكم في أنظمة الطاقة,الطاقة;الاستدامة;البيئة;التقنية;الابتكار,التفكير التحليلي;التصميم التقني;حل المشكلات;التخطيط الاستراتيجي,تصميم أنظمة الطاقة;تحليل كفاءة الطاقة;إدارة مشاريع الطاقة;تطوير الطاقات المتجددة;مراقبة أنظمة التوزيع,مهندس طاقة;مهندس مشاريع متجددة;مهندس كفاءة energetica;مهندس توزيع;استشاري طاقة,شركات الكهرباء;الطاقات المتجددة;القطاع النفطي;الاستشارات الهندسية;القطاع الحكومي,5,80,علمي,,,,37,0,0,5,10,35,25,10,0
54,هندسة الميكاترونيكس,الهندسة والتكنولوجيا,تخصص متعدد المجالات يجمع بين الهندسة الميكانيكية والكهربائية وعلوم الحاسب لتطوير الأنظمة الذكية والروبوتات والأتمتة الصناعية.,ميكانيكا الآلات;الإلكترونيات;برمجة النظم;نظرية التحكم;الروبوتات;الأتمتة الصناعية,الروبوتات;الإلكترونيات;البرمجة;الابتكار;التكنولوجيا,التفكير المنطقي;حل المشكلات;التصميم المتكامل;البرمجة,تصميم الأنظمة الميكانيكية;برمجة المتحكمات;تصميم الدوائر الإلكترونية;صيانة الأنظمة الآلية;تطوير الروبوتات,مهندس ميكاترونكس;مهندس تحكم آلي;مهندس روبوتات;مهندس أتمتة;مهندس صيانة,القطاع الصناعي;شركات التكنولوجيا;مراكز البحث;شركات الطاقة;القطاع الحكومي,5,80,علمي,,,,45,0,0,5,10,35,25,5,0
55,لغة عربية,العلوم الإنسانية والآداب,"تخصص يعنى بالدراسة العميقة لعلوم اللغة العربية وآدابها. يدرس الطلاب النحو والصرف، البلاغة، الأدب العربي القديم والحديث، وعلم اللغويات. يهدف إلى تخريج متخصصين متمكنين من اللغة، يعملون في مجالات التعليم، التدقيق اللغوي، الصحافة، أو كتابة المحتوى.",,,,,,,,,,,,,,0,0,50,20,0,0,0,0
56,لغة إنجليزية,العلوم الإنسانية والآداب,"تخصص يركز على إتقان اللغة الإنجليزية ودراسة آدابها وثقافاتها المتنوعة. يشمل دراسة اللغويات، الصوتيات، الأدب الإنجليزي والأمريكي، والترجمة. يكتسب الخريج مهارات تواصل عالمية، ويعمل في مجالات الترجمة، التعليم، العلاقات الدولية، السياحة، والمحتوى الرقمي.",,,,,,,,,,,,,,0,0,5,60,0,0,0,0
57,لغة فرنسية,العلوم الإنسانية والآداب,"تخصص يهدف إلى إتقان اللغة الفرنسية واستيعاب آدابها وثقافتها. يدرس الطلاب قواعد اللغة، الأدب الفرنسي، والترجمة من وإلى الفرنسية. يفتح هذا التخصص آفاقاً للعمل في السلك الدبلوماسي، المنظمات الدولية، شركات الطيران، والترجمة التحريرية والفورية.",,,,,,,,,,,,,,0,0,5,60,0,0,0,0
58,لغة ألمانية,العلوم الإنسانية والآداب,"يركز هذا التخصص على إكساب الطالب الكفاءة اللغوية في الألمانية ودراسة الأدب والثقافة في البلدان الناطقة بها. نظراً لقوة الاقتصاد الألماني، يجد الخريجون فرصاً في الشركات الألمانية العاملة في المنطقة، وفي مجالات التجارة الدولية، والسياحة، والترجمة الفنية.",,,,,,,,,,,,,,0,0,5,60,0,0,0,0
59,لغة إسبانية,العلوم الإنسانية والآداب,"تخصص يركز على تعلم واحدة من أكثر اللغات انتشاراً في العالم، ودراسة الآداب الغنية لإسبانيا وأمريكا اللاتينية. يفتح التخصص أبواب العمل في مجالات السياحة، التجارة الدولية، المنظمات غير الحكومية، والترجمة، خاصة مع تنامي العلاقات الاقتصادية مع الدول الناطقة بالإسبانية.",,,,,,,,,,,,,,0,0,5,60,0,0,0,0
60,تاريخ,العلوم الإنسانية والآداب,"تخصص يدرس ويسجل ويفسر أحداث الماضي البشري لفهم الحاضر وتوقع المستقبل. يدرس الطلاب تاريخ الحضارات المختلفة مع التركيز على التاريخ الإسلامي وتاريخ المملكة. يكتسب الخريج مهارات البحث، النقد، والتحليل، ويعمل في التعليم، المتاحف، الأرشيف، أو كباحث تاريخي.",,,,,,,,,,,,,,0,0,10,15,0,0,0,0
61,جغرافيا,العلوم الإنسانية والآداب,"علم يدرس سطح الأرض والعلاقة بين الإنسان وبيئته. ينقسم إلى جغرافيا طبيعية (التضاريس والمناخ) وجغرافيا بشرية (السكان والعمران). يستخدم الطلاب تقنيات حديثة مثل نظم المعلومات الجغرافية (GIS)، ويعملون كمخططين حضريين، أخصائيي بيئة، أو محللين مكانيين.",,,,,,,,,,,,,,0,0,10,15,5,5,0,0
62,علم اجتماع,العلوم الإنسانية والآداب,"تخصص يدرس البنى الاجتماعية، التفاعلات البشرية، والظواهر والمشكلات الاجتماعية. يحلل موضوعات مثل الأسرة، الجريمة، والتغير الاجتماعي. يكتسب الخريج مهارات في البحث الاجتماعي وتحليل البيانات، ويعمل في مراكز البحوث الاجتماعية، التنمية البشرية، والمنظمات غير الربحية.",,,,,,,,,,,,,,0,0,10,20,5,0,0,0
63,علم نفس,العلوم الإنسانية والآداب,"علم يدرس السلوك الإنساني والعمليات العقلية بشكل علمي. يغطي مجالات مثل علم النفس النمو، الاجتماعي، المعرفي، والإكلينيكي. يهدف التخصص إلى فهم وتفسير السلوك البشري، ويعمل الخريجون في مجالات الإرشاد النفسي، الموارد البشرية، أو يكملون دراستهم ليصبحوا أخصائيين نفسيين.",,,,,,,,,,,,,,0,0,10,20,5,0,0,0
